index,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,salary
0,"[20, 40[", State-gov,77516,Undergraduate,13,Never-married,Other, Not-in-family,*,Male,2174,0,40,North America,<=50K
1,"[40, 60[", Self-emp-not-inc,83311,Undergraduate,13,Married-civ-spouse,Nontechnical, Husband,*,Male,0,0,13,North America,<=50K
3,"[40, 60[", Private,234721,High School,7,Married-civ-spouse,Nontechnical, Husband,*,Male,0,0,40,North America,<=50K
7,"[40, 60[", Self-emp-not-inc,209642,High School,9,Married-civ-spouse,Nontechnical, Husband,*,Male,0,0,45,North America,>50K
9,"[40, 60[", Private,159449,Undergraduate,13,Married-civ-spouse,Nontechnical, Husband,*,Male,5178,0,40,North America,>50K
10,"[20, 40[", Private,280464,Undergraduate,10,Married-civ-spouse,Nontechnical, Husband,*,Male,0,0,80,North America,>50K
12,"[20, 40[", Private,122272,Undergraduate,13,Never-married,Other, Own-child,*,Female,0,0,30,North America,<=50K
15,"[20, 40[", Private,245487,High School,4,Married-civ-spouse,Other, Husband,*,Male,0,0,45,North America,<=50K
16,"[20, 40[", Self-emp-not-inc,176756,High School,9,Never-married,Other, Own-child,*,Male,0,0,35,North America,<=50K
17,"[20, 40[", Private,186824,High School,9,Never-married,Technical, Unmarried,*,Male,0,0,40,North America,<=50K
18,"[20, 40[", Private,28887,High School,7,Married-civ-spouse,Nontechnical, Husband,*,Male,0,0,50,North America,<=50K
20,"[40, 60[", Private,193524,Graduate,16,Married-civ-spouse,Technical, Husband,*,Male,0,0,60,North America,>50K
22,"[20, 40[", Federal-gov,76845,High School,5,Married-civ-spouse,Other, Husband,*,Male,0,0,40,North America,<=50K
23,"[40, 60[", Private,117037,High School,7,Married-civ-spouse,Other, Husband,*,Male,0,2042,40,North America,<=50K
25,"[40, 60[", Local-gov,216851,Undergraduate,13,Married-civ-spouse,Technical, Husband,*,Male,0,0,40,North America,>50K
29,"[40, 60[", Private,193366,High School,9,Married-civ-spouse,Technical, Husband,*,Male,0,0,40,North America,<=50K
31,"[20, 40[", Private,266015,Undergraduate,10,Never-married,Nontechnical, Own-child,*,Male,0,0,44,North America,<=50K
33,"[20, 40[", Federal-gov,59951,Undergraduate,10,Married-civ-spouse,Other, Own-child,*,Male,0,0,40,North America,<=50K
34,"[20, 40[", State-gov,311512,Undergraduate,10,Married-civ-spouse,Other, Husband,*,Male,0,0,15,North America,<=50K
36,"[20, 40[", Private,197200,Undergraduate,10,Never-married,Technical, Own-child,*,Male,0,0,40,North America,<=50K
39,"[40, 60[", Self-emp-not-inc,265477,Professional Education,12,Married-civ-spouse,Technical, Husband,*,Male,0,0,40,North America,<=50K
40,"[20, 40[", Private,507875,High School,5,Married-civ-spouse,Technical, Husband,*,Male,0,0,43,North America,<=50K
41,"[40, 60[", Self-emp-not-inc,88506,Undergraduate,13,Married-civ-spouse,Technical, Husband,*,Male,0,0,40,North America,<=50K
42,"[20, 40[", Private,172987,Undergraduate,13,Married-civ-spouse,Technical, Husband,*,Male,0,0,50,North America,<=50K
44,"[20, 40[", Private,289980,High School,9,Never-married,Nontechnical, Not-in-family,*,Male,0,0,35,North America,<=50K
45,"[40, 60[", Federal-gov,337895,Undergraduate,13,Married-civ-spouse,Technical, Husband,*,Male,0,0,40,North America,>50K
46,"[40, 60[", Private,144361,High School,9,Married-civ-spouse,Technical, Husband,*,Male,0,0,38,North America,<=50K
48,"[40, 60[", State-gov,101603,Professional Education,11,Married-civ-spouse,Technical, Husband,*,Male,0,0,40,North America,<=50K
55,"[40, 60[", Private,237993,Undergraduate,10,Married-civ-spouse,Technical, Husband,*,Male,0,0,40,North America,>50K
57,"[20, 40[", Private,56352,Professional Education,11,Married-civ-spouse,Other, Husband,*,Male,0,0,40,North America,<=50K
58,"[40, 60[", Private,147372,High School,9,Married-civ-spouse,Other, Husband,*,Male,0,0,48,North America,<=50K
59,"[20, 40[", Private,188146,High School,9,Married-civ-spouse,Technical, Husband,*,Male,5013,0,40,North America,<=50K
60,"[20, 40[", Private,59496,Undergraduate,13,Married-civ-spouse,Nontechnical, Husband,*,Male,2407,0,40,North America,<=50K
62,"[40, 60[", Private,149640,High School,9,Married-civ-spouse,Other, Husband,*,Male,0,0,40,North America,<=50K
63,"[40, 60[", Private,116632,Graduate,16,Married-civ-spouse,Technical, Husband,*,Male,0,0,45,North America,>50K
64,"[20, 40[", Private,105598,Undergraduate,10,Divorced,Technical, Not-in-family,*,Male,0,0,58,North America,<=50K
