index,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,salary
1,"[40, 80[", Self-emp-not-inc,83311,Higher education,13,Spouse present,Nontechnical, Husband,*,Male,0,0,13,*,<=50K
2,"[0, 40[", Private,215646,Secondary education,9,Spouse not present,Nontechnical, Not-in-family,*,Male,0,0,40,*,<=50K
8,"[0, 40[", Private,45781,Higher education,14,Spouse not present,Technical, Not-in-family,*,Female,14084,0,50,*,>50K
9,"[40, 80[", Private,159449,Higher education,13,Spouse present,Nontechnical, Husband,*,Male,5178,0,40,*,>50K
10,"[0, 40[", Private,280464,Higher education,10,Spouse present,Nontechnical, Husband,*,Male,0,0,80,*,>50K
11,"[0, 40[", State-gov,141297,Higher education,13,Spouse present,Technical, Husband,*,Male,0,0,40,*,>50K
12,"[0, 40[", Private,122272,Higher education,13,Spouse not present,Other, Own-child,*,Female,0,0,30,*,<=50K
13,"[0, 40[", Private,205019,Higher education,12,Spouse not present,Nontechnical, Not-in-family,*,Male,0,0,50,*,<=50K
14,"[40, 80[", Private,121772,Higher education,11,Spouse present,Technical, Husband,*,Male,0,0,40,*,>50K
15,"[0, 40[", Private,245487,Secondary education,4,Spouse present,Other, Husband,*,Male,0,0,45,*,<=50K
16,"[0, 40[", Self-emp-not-inc,176756,Secondary education,9,Spouse not present,Other, Own-child,*,Male,0,0,35,*,<=50K
17,"[0, 40[", Private,186824,Secondary education,9,Spouse not present,Technical, Unmarried,*,Male,0,0,40,*,<=50K
20,"[40, 80[", Private,193524,Higher education,16,Spouse present,Technical, Husband,*,Male,0,0,60,*,>50K
22,"[0, 40[", Federal-gov,76845,Secondary education,5,Spouse present,Other, Husband,*,Male,0,0,40,*,<=50K
23,"[40, 80[", Private,117037,Secondary education,7,Spouse present,Other, Husband,*,Male,0,2042,40,*,<=50K
25,"[40, 80[", Local-gov,216851,Higher education,13,Spouse present,Technical, Husband,*,Male,0,0,40,*,>50K
26,"[0, 40[", Private,168294,Secondary education,9,Spouse not present,Technical, Own-child,*,Male,0,0,40,*,<=50K
28,"[0, 40[", Private,367260,Secondary education,9,Spouse not present,Nontechnical, Not-in-family,*,Male,0,0,80,*,<=50K
29,"[40, 80[", Private,193366,Secondary education,9,Spouse present,Technical, Husband,*,Male,0,0,40,*,<=50K
31,"[0, 40[", Private,266015,Higher education,10,Spouse not present,Nontechnical, Own-child,*,Male,0,0,44,*,<=50K
33,"[0, 40[", Federal-gov,59951,Higher education,10,Spouse present,Other, Own-child,*,Male,0,0,40,*,<=50K
34,"[0, 40[", State-gov,311512,Higher education,10,Spouse present,Other, Husband,*,Male,0,0,15,*,<=50K
36,"[0, 40[", Private,197200,Higher education,10,Spouse not present,Technical, Own-child,*,Male,0,0,40,*,<=50K
38,"[0, 40[", Private,84154,Higher education,10,Spouse present,Nontechnical, Husband,*,Male,0,0,38,*,>50K
39,"[40, 80[", Self-emp-not-inc,265477,Higher education,12,Spouse present,Technical, Husband,*,Male,0,0,40,*,<=50K
