index,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,salary
1,"[50, 60[", Self-emp-not-inc,83311,Undergraduate,13,Married-civ-spouse,Nontechnical, Husband,*,Male,0,0,13,North America,<=50K
2,"[30, 40[", Private,215646,High School,9,Divorced,Nontechnical, Not-in-family,*,Male,0,0,40,North America,<=50K
3,"[50, 60[", Private,234721,High School,7,Married-civ-spouse,Nontechnical, Husband,*,Male,0,0,40,North America,<=50K
7,"[50, 60[", Self-emp-not-inc,209642,High School,9,Married-civ-spouse,Nontechnical, Husband,*,Male,0,0,45,North America,>50K
9,"[40, 50[", Private,159449,Undergraduate,13,Married-civ-spouse,Nontechnical, Husband,*,Male,5178,0,40,North America,>50K
10,"[30, 40[", Private,280464,Undergraduate,10,Married-civ-spouse,Nontechnical, Husband,*,Male,0,0,80,North America,>50K
12,"[20, 30[", Private,122272,Undergraduate,13,Never-married,Other, Own-child,*,Female,0,0,30,North America,<=50K
15,"[30, 40[", Private,245487,High School,4,Married-civ-spouse,Other, Husband,*,Male,0,0,45,North America,<=50K
16,"[20, 30[", Self-emp-not-inc,176756,High School,9,Never-married,Other, Own-child,*,Male,0,0,35,North America,<=50K
17,"[30, 40[", Private,186824,High School,9,Never-married,Technical, Unmarried,*,Male,0,0,40,North America,<=50K
18,"[30, 40[", Private,28887,High School,7,Married-civ-spouse,Nontechnical, Husband,*,Male,0,0,50,North America,<=50K
19,"[40, 50[", Self-emp-not-inc,292175,Graduate,14,Divorced,Nontechnical, Unmarried,*,Female,0,0,45,North America,>50K
20,"[40, 50[", Private,193524,Graduate,16,Married-civ-spouse,Technical, Husband,*,Male,0,0,60,North America,>50K
22,"[30, 40[", Federal-gov,76845,High School,5,Married-civ-spouse,Other, Husband,*,Male,0,0,40,North America,<=50K
23,"[40, 50[", Private,117037,High School,7,Married-civ-spouse,Other, Husband,*,Male,0,2042,40,North America,<=50K
25,"[50, 60[", Local-gov,216851,Undergraduate,13,Married-civ-spouse,Technical, Husband,*,Male,0,0,40,North America,>50K
28,"[30, 40[", Private,367260,High School,9,Divorced,Nontechnical, Not-in-family,*,Male,0,0,80,North America,<=50K
29,"[40, 50[", Private,193366,High School,9,Married-civ-spouse,Technical, Husband,*,Male,0,0,40,North America,<=50K
31,"[20, 30[", Private,266015,Undergraduate,10,Never-married,Nontechnical, Own-child,*,Male,0,0,44,North America,<=50K
33,"[30, 40[", Federal-gov,59951,Undergraduate,10,Married-civ-spouse,Other, Own-child,*,Male,0,0,40,North America,<=50K
