index,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,salary
0,"[0, 40[", State-gov,77516,Undergraduate,13,Spouse not present,Other, Not-in-family,*,Male,2174,0,40,*,<=50K
1,"[40, 80[", Self-emp-not-inc,83311,Undergraduate,13,Spouse present,Nontechnical, Husband,*,Male,0,0,13,*,<=50K
2,"[0, 40[", Private,215646,High School,9,Spouse not present,Nontechnical, Not-in-family,*,Male,0,0,40,*,<=50K
3,"[40, 80[", Private,234721,High School,7,Spouse present,Nontechnical, Husband,*,Male,0,0,40,*,<=50K
6,"[40, 80[", Private,160187,High School,5,Spouse not present,Other, Not-in-family,*,Female,0,0,16,*,<=50K
7,"[40, 80[", Self-emp-not-inc,209642,High School,9,Spouse present,Nontechnical, Husband,*,Male,0,0,45,*,>50K
9,"[40, 80[", Private,159449,Undergraduate,13,Spouse present,Nontechnical, Husband,*,Male,5178,0,40,*,>50K
10,"[0, 40[", Private,280464,Undergraduate,10,Spouse present,Nontechnical, Husband,*,Male,0,0,80,*,>50K
11,"[0, 40[", State-gov,141297,Undergraduate,13,Spouse present,Technical, Husband,*,Male,0,0,40,*,>50K
12,"[0, 40[", Private,122272,Undergraduate,13,Spouse not present,Other, Own-child,*,Female,0,0,30,*,<=50K
14,"[40, 80[", Private,121772,Professional Education,11,Spouse present,Technical, Husband,*,Male,0,0,40,*,>50K
15,"[0, 40[", Private,245487,High School,4,Spouse present,Other, Husband,*,Male,0,0,45,*,<=50K
16,"[0, 40[", Self-emp-not-inc,176756,High School,9,Spouse not present,Other, Own-child,*,Male,0,0,35,*,<=50K
17,"[0, 40[", Private,186824,High School,9,Spouse not present,Technical, Unmarried,*,Male,0,0,40,*,<=50K
21,"[40, 80[", Private,302146,High School,9,Spouse not present,Other, Unmarried,*,Female,0,0,20,*,<=50K
22,"[0, 40[", Federal-gov,76845,High School,5,Spouse present,Other, Husband,*,Male,0,0,40,*,<=50K
23,"[40, 80[", Private,117037,High School,7,Spouse present,Other, Husband,*,Male,0,2042,40,*,<=50K
25,"[40, 80[", Local-gov,216851,Undergraduate,13,Spouse present,Technical, Husband,*,Male,0,0,40,*,>50K
26,"[0, 40[", Private,168294,High School,9,Spouse not present,Technical, Own-child,*,Male,0,0,40,*,<=50K
28,"[0, 40[", Private,367260,High School,9,Spouse not present,Nontechnical, Not-in-family,*,Male,0,0,80,*,<=50K
29,"[40, 80[", Private,193366,High School,9,Spouse present,Technical, Husband,*,Male,0,0,40,*,<=50K
31,"[0, 40[", Private,266015,Undergraduate,10,Spouse not present,Nontechnical, Own-child,*,Male,0,0,44,*,<=50K
33,"[0, 40[", Federal-gov,59951,Undergraduate,10,Spouse present,Other, Own-child,*,Male,0,0,40,*,<=50K
34,"[0, 40[", State-gov,311512,Undergraduate,10,Spouse present,Other, Husband,*,Male,0,0,15,*,<=50K
36,"[0, 40[", Private,197200,Undergraduate,10,Spouse not present,Technical, Own-child,*,Male,0,0,40,*,<=50K
38,"[0, 40[", Private,84154,Undergraduate,10,Spouse present,Nontechnical, Husband,*,Male,0,0,38,*,>50K
39,"[40, 80[", Self-emp-not-inc,265477,Professional Education,12,Spouse present,Technical, Husband,*,Male,0,0,40,*,<=50K
40,"[0, 40[", Private,507875,High School,5,Spouse present,Technical, Husband,*,Male,0,0,43,*,<=50K
41,"[40, 80[", Self-emp-not-inc,88506,Undergraduate,13,Spouse present,Technical, Husband,*,Male,0,0,40,*,<=50K
42,"[0, 40[", Private,172987,Undergraduate,13,Spouse present,Technical, Husband,*,Male,0,0,50,*,<=50K
43,"[40, 80[", Private,94638,High School,9,Spouse not present,Other, Unmarried,*,Female,0,0,40,*,<=50K
44,"[0, 40[", Private,289980,High School,9,Spouse not present,Nontechnical, Not-in-family,*,Male,0,0,35,*,<=50K
45,"[40, 80[", Federal-gov,337895,Undergraduate,13,Spouse present,Technical, Husband,*,Male,0,0,40,*,>50K
46,"[40, 80[", Private,144361,High School,9,Spouse present,Technical, Husband,*,Male,0,0,38,*,<=50K
48,"[40, 80[", State-gov,101603,Professional Education,11,Spouse present,Technical, Husband,*,Male,0,0,40,*,<=50K
