index,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,salary
0,*, State-gov,77516,*,13,Spouse not present,*, Not-in-family,*,Male,2174,0,40,*,<=50K
1,*, Self-emp-not-inc,83311,*,13,Spouse present,*, Husband,*,Male,0,0,13,*,<=50K
2,*, Private,215646,*,9,Spouse not present,*, Not-in-family,*,Male,0,0,40,*,<=50K
3,*, Private,234721,*,7,Spouse present,*, Husband,*,Male,0,0,40,*,<=50K
4,*, Private,338409,*,13,Spouse present,*, Wife,*,Female,0,0,40,*,<=50K
6,*, Private,160187,*,5,Spouse not present,*, Not-in-family,*,Female,0,0,16,*,<=50K
7,*, Self-emp-not-inc,209642,*,9,Spouse present,*, Husband,*,Male,0,0,45,*,>50K
8,*, Private,45781,*,14,Spouse not present,*, Not-in-family,*,Female,14084,0,50,*,>50K
9,*, Private,159449,*,13,Spouse present,*, Husband,*,Male,5178,0,40,*,>50K
10,*, Private,280464,*,10,Spouse present,*, Husband,*,Male,0,0,80,*,>50K
11,*, State-gov,141297,*,13,Spouse present,*, Husband,*,Male,0,0,40,*,>50K
12,*, Private,122272,*,13,Spouse not present,*, Own-child,*,Female,0,0,30,*,<=50K
13,*, Private,205019,*,12,Spouse not present,*, Not-in-family,*,Male,0,0,50,*,<=50K
15,*, Private,245487,*,4,Spouse present,*, Husband,*,Male,0,0,45,*,<=50K
16,*, Self-emp-not-inc,176756,*,9,Spouse not present,*, Own-child,*,Male,0,0,35,*,<=50K
17,*, Private,186824,*,9,Spouse not present,*, Unmarried,*,Male,0,0,40,*,<=50K
18,*, Private,28887,*,7,Spouse present,*, Husband,*,Male,0,0,50,*,<=50K
19,*, Self-emp-not-inc,292175,*,14,Spouse not present,*, Unmarried,*,Female,0,0,45,*,>50K
20,*, Private,193524,*,16,Spouse present,*, Husband,*,Male,0,0,60,*,>50K
21,*, Private,302146,*,9,Spouse not present,*, Unmarried,*,Female,0,0,20,*,<=50K
22,*, Federal-gov,76845,*,5,Spouse present,*, Husband,*,Male,0,0,40,*,<=50K
23,*, Private,117037,*,7,Spouse present,*, Husband,*,Male,0,2042,40,*,<=50K
24,*, Private,109015,*,9,Spouse not present,*, Unmarried,*,Female,0,0,40,*,<=50K
25,*, Local-gov,216851,*,13,Spouse present,*, Husband,*,Male,0,0,40,*,>50K
26,*, Private,168294,*,9,Spouse not present,*, Own-child,*,Male,0,0,40,*,<=50K
28,*, Private,367260,*,9,Spouse not present,*, Not-in-family,*,Male,0,0,80,*,<=50K
29,*, Private,193366,*,9,Spouse present,*, Husband,*,Male,0,0,40,*,<=50K
30,*, Local-gov,190709,*,12,Spouse not present,*, Not-in-family,*,Male,0,0,52,*,<=50K
31,*, Private,266015,*,10,Spouse not present,*, Own-child,*,Male,0,0,44,*,<=50K
32,*, Private,386940,*,13,Spouse not present,*, Own-child,*,Male,0,1408,40,*,<=50K
33,*, Federal-gov,59951,*,10,Spouse present,*, Own-child,*,Male,0,0,40,*,<=50K
34,*, State-gov,311512,*,10,Spouse present,*, Husband,*,Male,0,0,15,*,<=50K
35,*, Private,242406,*,7,Spouse not present,*, Unmarried,*,Male,0,0,40,*,<=50K
36,*, Private,197200,*,10,Spouse not present,*, Own-child,*,Male,0,0,40,*,<=50K
38,*, Private,84154,*,10,Spouse present,*, Husband,*,Male,0,0,38,*,>50K
39,*, Self-emp-not-inc,265477,*,12,Spouse present,*, Husband,*,Male,0,0,40,*,<=50K
40,*, Private,507875,*,5,Spouse present,*, Husband,*,Male,0,0,43,*,<=50K
41,*, Self-emp-not-inc,88506,*,13,Spouse present,*, Husband,*,Male,0,0,40,*,<=50K
42,*, Private,172987,*,13,Spouse present,*, Husband,*,Male,0,0,50,*,<=50K
