index,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,salary
0,"[35, 40[", State-gov,77516,Undergraduate,13,Never-married,Other, Not-in-family,*,Male,2174,0,40,North America,<=50K
1,"[50, 55[", Self-emp-not-inc,83311,Undergraduate,13,Married-civ-spouse,Nontechnical, Husband,*,Male,0,0,13,North America,<=50K
2,"[35, 40[", Private,215646,High School,9,Divorced,Nontechnical, Not-in-family,*,Male,0,0,40,North America,<=50K
3,"[50, 55[", Private,234721,High School,7,Married-civ-spouse,Nontechnical, Husband,*,Male,0,0,40,North America,<=50K
4,"[25, 30[", Private,338409,Undergraduate,13,Married-civ-spouse,Technical, Wife,*,Female,0,0,40,North America,<=50K
6,"[45, 50[", Private,160187,High School,5,Married-spouse-absent,Other, Not-in-family,*,Female,0,0,16,North America,<=50K
7,"[50, 55[", Self-emp-not-inc,209642,High School,9,Married-civ-spouse,Nontechnical, Husband,*,Male,0,0,45,North America,>50K
8,"[30, 35[", Private,45781,Graduate,14,Never-married,Technical, Not-in-family,*,Female,14084,0,50,North America,>50K
9,"[40, 45[", Private,159449,Undergraduate,13,Married-civ-spouse,Nontechnical, Husband,*,Male,5178,0,40,North America,>50K
10,"[35, 40[", Private,280464,Undergraduate,10,Married-civ-spouse,Nontechnical, Husband,*,Male,0,0,80,North America,>50K
11,"[30, 35[", State-gov,141297,Undergraduate,13,Married-civ-spouse,Technical, Husband,*,Male,0,0,40,Asia,>50K
12,"[20, 25[", Private,122272,Undergraduate,13,Never-married,Other, Own-child,*,Female,0,0,30,North America,<=50K
13,"[30, 35[", Private,205019,Professional Education,12,Never-married,Nontechnical, Not-in-family,*,Male,0,0,50,North America,<=50K
15,"[30, 35[", Private,245487,High School,4,Married-civ-spouse,Other, Husband,*,Male,0,0,45,North America,<=50K
16,"[25, 30[", Self-emp-not-inc,176756,High School,9,Never-married,Other, Own-child,*,Male,0,0,35,North America,<=50K
